,id,id_hash,name,class,type,description
0,TBA01_5e,4716087232859971831,Magic!,NEUTRAL,6,
1,TB_PickYourFate_7_EnchMiniom2nde,-6358021808048920959,Dire Fate: Manaburst Minion Deathrattle Trigger Buff,INVALID,6,
2,EX1_144e,3142781910552015778,Shadowstep Buff,INVALID,6,
3,CS2_103e,-2314020606359528721,Charge,INVALID,6,
4,VAN_NEW1_008,-5505224876440783450,Ancient of Lore (Old),DRUID,4,
5,VAN_NEW1_008a,7059310545854489605,Ancient Teachings (Old),DRUID,5,
6,VAN_EX1_571,-291020308417076643,Force of Nature (Old),DRUID,5,
7,VAN_EX1_tk9b,5871484244277285360,Treant (Old),DRUID,4,
8,VAN_EX1_166,7170132658389472701,Keeper of the Grove (Old),DRUID,4,
9,VAN_CS2_203,8989171737211471629,Ironbeak Owl (Old),NEUTRAL,4,
10,VAN_EX1_005,-7766197025843588240,Big Game Hunter (Old),NEUTRAL,4,
11,VAN_CS2_084,-5809915290018518282,Hunter's Mark (Old),HUNTER,5,
12,VAN_CS2_233,5216554730297749988,Blade Flurry (Old),ROGUE,5,
13,VAN_NEW1_019,6238692615194566441,Knife Juggler (Old),NEUTRAL,4,
14,VAN_EX1_029,3211067421156412541,Leper Gnome (Old),NEUTRAL,4,
15,VAN_EX1_089,-4278169305846538993,Arcane Golem (Old),NEUTRAL,4,
16,VAN_EX1_620,-5726221064733156549,Molten Giant (Old),NEUTRAL,4,
17,VAN_NEW1_014,8172828373000537956,Master of Disguise (Old),ROGUE,4,
18,VAN_NEW1_014e,3555664568324184513,Disguised (Old),INVALID,6,
19,VAN_CS2_103,-3831838760891862076,Charge (Old),WARRIOR,5,
20,VAN_CS2_103e2,2063610774631231633,Charge,INVALID,6,
21,VAN_EX1_169,6769267103132035038,Innervate (Old),DRUID,5,
22,VAN_EX1_145,6475164901574305300,Preparation (Old),ROGUE,5,
23,VAN_EX1_145o,-3198285670125576747,Preparation (Old),INVALID,6,
24,FIREPLACE_EX1_084,-1047900362321293279,Warsong Commander (Old),WARRIOR,4,
25,FIREPLACE_EX1_084e,3972790042018218034,Charge (Old),INVALID,6,
26,YOD_026e,-7314888316515755335,Fiendish Servant Buff,INVALID,6,
27,CFM_811e,317661623206625648,Lunar Visions Buff,INVALID,6,
28,GVG_017e,-7155992334815119195,Call Pet Buff,INVALID,6,
29,GVG_003e,5915407462707756105,Unstable Portal Buff,INVALID,6,
30,ICC_700e,1346514126262136602,Happy Ghoul Buff,INVALID,6,
31,KAR_070e,3770891327127640819,Ethereal Peddler Buff,INVALID,6,
32,LOOT_537e,-1234175639441460098,Leyline Manipulator Buff,INVALID,6,
33,LOOT_130e,-2397767647135655204,Arcane Tyrant Buff,INVALID,6,
34,UNG_024e,6288515222367457435,Mana Bind Buff,INVALID,6,
35,UNG_940t8e,-8627239991806995781,"Amara, Warden of Hope Buff",INVALID,6,
36,UNG_099e,-4491584277648521036,Can't attack heroes this turn,INVALID,6,
37,ART_BOT_Bundle_001,-4418048814836796272,Golden Legendary,NEUTRAL,4,
38,AT_001,3712775329196477624,Flame Lance,MAGE,5,Deal $8 damage to a minion.
39,AT_002,-7839706346666258431,Effigy,MAGE,5,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost."
40,AT_003,-8275312279073931853,Fallen Hero,MAGE,4,Your Hero Power deals 1_extra damage.
41,AT_004,1865769302483304094,Arcane Blast,MAGE,5,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.
42,AT_005,-5289726243898516783,Polymorph: Boar,MAGE,5,Transform a minion into a 4/2 Boar with <b>Charge</b>.
43,AT_005t,-1843310079050002156,Boar,NEUTRAL,4,<b>Charge</b>
44,AT_006,-4701678096851221066,Dalaran Aspirant,MAGE,4,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.
45,AT_006e,2063515689701803142,Power of Dalaran,MAGE,6,Increased Spell Damage.
46,AT_007,5752798362697793569,Spellslinger,MAGE,4,<b>Battlecry:</b> Add a random spell to each player's hand.
47,AT_008,-1535653297996576295,Coldarra Drake,MAGE,4,You can use your Hero Power any number of times.
48,AT_009,9153712454829735631,Rhonin,MAGE,4,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.
49,AT_010,-6385002713876520708,Ram Wrangler,HUNTER,4,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast."
50,AT_011,-6904582720535757595,Holy Champion,PRIEST,4,"Whenever a character is healed, gain +2 Attack."
51,AT_011e,3290263240891335326,Light's Blessing,NEUTRAL,6,Increased Attack.
52,AT_012,868135733832450871,Spawn of Shadows,PRIEST,4,<b>Inspire:</b> Deal 4 damage to each hero.
53,AT_013,227941849330240911,Power Word: Glory,PRIEST,5,"Choose a minion. Whenever it attacks, restore 4 Health to
your hero."
54,AT_013e,-3000209072928905418,Power Word: Glory,NEUTRAL,6,"When this attacks, restore #4 Health to the hero of the player who buffed it."
55,AT_014,-170100078015560863,Shadowfiend,PRIEST,4,"Whenever you draw a card, reduce its Cost by (1)."
56,AT_014e,8814455231709112948,Shadowfiended,PRIEST,6,Costs (1) less.
