id,name,class
TBA01_5e,Magic!,NEUTRAL
TB_PickYourFate_7_EnchMiniom2nde,Dire Fate: Manaburst Minion Deathrattle Trigger Buff,INVALID
EX1_144e,Shadowstep Buff,INVALID
CS2_103e,Charge,INVALID
VAN_NEW1_008,Ancient of Lore (Old),DRUID
VAN_NEW1_008a,Ancient Teachings (Old),DRUID
VAN_EX1_571,Force of Nature (Old),DRUID
VAN_EX1_tk9b,Treant (Old),DRUID
VAN_EX1_166,Keeper of the Grove (Old),DRUID
VAN_CS2_203,Ironbeak Owl (Old),NEUTRAL
VAN_EX1_005,Big Game Hunter (Old),NEUTRAL
VAN_CS2_084,Hunter's Mark (Old),HUNTER
VAN_CS2_233,Blade Flurry (Old),ROGUE
VAN_NEW1_019,Knife Juggler (Old),NEUTRAL
VAN_EX1_029,Leper Gnome (Old),NEUTRAL
VAN_EX1_089,Arcane Golem (Old),NEUTRAL
VAN_EX1_620,Molten Giant (Old),NEUTRAL
VAN_NEW1_014,Master of Disguise (Old),ROGUE
VAN_NEW1_014e,Disguised (Old),INVALID
VAN_CS2_103,Charge (Old),WARRIOR
VAN_CS2_103e2,Charge,INVALID
VAN_EX1_169,Innervate (Old),DRUID
VAN_EX1_145,Preparation (Old),ROGUE
VAN_EX1_145o,Preparation (Old),INVALID
FIREPLACE_EX1_084,Warsong Commander (Old),WARRIOR
FIREPLACE_EX1_084e,Charge (Old),INVALID
YOD_026e,Fiendish Servant Buff,INVALID
CFM_811e,Lunar Visions Buff,INVALID
GVG_017e,Call Pet Buff,INVALID
GVG_003e,Unstable Portal Buff,INVALID
ICC_700e,Happy Ghoul Buff,INVALID
KAR_070e,Ethereal Peddler Buff,INVALID
LOOT_537e,Leyline Manipulator Buff,INVALID
LOOT_130e,Arcane Tyrant Buff,INVALID
UNG_024e,Mana Bind Buff,INVALID
UNG_940t8e,"Amara, Warden of Hope Buff",INVALID
UNG_099e,Can't attack heroes this turn,INVALID
ART_BOT_Bundle_001,Golden Legendary,NEUTRAL
AT_001,Flame Lance,MAGE
AT_002,Effigy,MAGE
AT_003,Fallen Hero,MAGE
AT_004,Arcane Blast,MAGE
AT_005,Polymorph: Boar,MAGE
AT_005t,Boar,NEUTRAL
AT_006,Dalaran Aspirant,MAGE
AT_006e,Power of Dalaran,MAGE
AT_007,Spellslinger,MAGE
AT_008,Coldarra Drake,MAGE
AT_009,Rhonin,MAGE
AT_010,Ram Wrangler,HUNTER
AT_011,Holy Champion,PRIEST
AT_011e,Light's Blessing,NEUTRAL
AT_012,Spawn of Shadows,PRIEST
AT_013,Power Word: Glory,PRIEST
AT_013e,Power Word: Glory,NEUTRAL
AT_014,Shadowfiend,PRIEST
AT_014e,Shadowfiended,PRIEST
AT_015,Convert,PRIEST
AT_016,Confuse,PRIEST
AT_016e,Confused,PRIEST
AT_017,Twilight Guardian,NEUTRAL
AT_017e,Twilight's Embrace,NEUTRAL
AT_018,Confessor Paletress,PRIEST
AT_019,Dreadsteed,WARLOCK
AT_019e,Dreadsteed,NEUTRAL
AT_020,Fearsome Doomguard,WARLOCK
AT_021,Tiny Knight of Evil,WARLOCK
